unidade;setor_centro_custo;ano;mes;pacientes_pcm;internacoes;tx_pacientes_pcm
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;12;1;24;0,041666666666666664
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;3;1;28;0,03571428571428571
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;8;1;22;0,045454545454545456
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;1;2;30;0,06666666666666667
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;3;1;14;0,07142857142857142
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;9;1;21;0,047619047619047616
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;4;2;27;0,07407407407407407
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;5;3;35;0,08571428571428572
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;11;1;27;0,037037037037037035
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;11;46;1;46,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;9;14;1;14,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026;2;19;1;19,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;9;13;1;13,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;11;46;1;46,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;1;39;3;13,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2026;3;22;1;22,0
CHPB;LAR INCLUSIVO C;2023;5;3;1;3,0
CHPB;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2019;12;1;3;0,3333333333333333
CHPB;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2020;3;1;2;0,5
CHPB;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2020;8;1;1;1,0
CHPB;UIC - UNIDADE INTERCORRENCIAS CLINICAS;2021;1;2;3;0,6666666666666666
CHPB;UIP-FEMININA/CHPB/CHB;2024;7;18;5;3,6
CHPB;UIP-FEMININA/CHPB/CHB;2024;8;21;13;1,6153846153846154
CHPB;UIP-FEMININA/CHPB/CHB;2024;9;13;3;4,333333333333333
CHPB;UIP-FEMININA/CHPB/CHB;2024;10;42;14;3,0
CHPB;UIP-FEMININA/CHPB/CHB;2024;11;46;12;3,8333333333333335
CHPB;UIP-FEMININA/CHPB/CHB;2024;12;32;7;4,571428571428571
CHPB;UIP-FEMININA/CHPB/CHB;2025;1;39;9;4,333333333333333
CHPB;UIP-FEMININA/CHPB/CHB;2025;2;34;14;2,4285714285714284
CHPB;UIP-FEMININA/CHPB/CHB;2025;3;19;11;1,7272727272727273
CHPB;UIP-FEMININA/CHPB/CHB;2025;4;22;8;2,75
CHPB;UIP-FEMININA/CHPB/CHB;2025;5;25;12;2,0833333333333335
CHPB;UIP-FEMININA/CHPB/CHB;2025;6;25;8;3,125
CHPB;UIP-FEMININA/CHPB/CHB;2025;7;28;12;2,3333333333333335
CHPB;UIP-FEMININA/CHPB/CHB;2025;8;17;8;2,125
